Name,Domain,Description,Employees,Street,City,Country,company_clean,Final Email
National Van Lines,nationalvanlines.com,"National Van Lines is a nationwide moving company that specializes in long-distance and cross-country relocation services for residential and corporate clients across the United States. They offer a range of moving solutions including apartment, condo, senior moves, commercial relocations, and specialized services like secure storage and transportation. Key features include an online moving calculator, customer satisfaction guarantee, and a network of over 1,000 local agents to assist with various moving needs, ensuring reliable service throughout the move process.",51-200,2800 West Roosevelt Road,Broadview,US,National Van Lines,marketing@nationalvanlines.com
Neighbors Relocation Services,neighborsmovingseattle.com,"Neighbors Relocation Services is a veteran-owned moving company based in Seattle, specializing in residential and commercial relocation for both local and international moves. They offer a range of services including long-distance relocations, packing supplies, and storage solutions. With over 70 years of experience, the company focuses on providing professional service throughout the moving process, ensuring efficient logistics and customer satisfaction. Neighbors also provides specialized moving equipment such as flatbeds and refrigerated boxes to support various moving needs.",51-200,18409 1St Ave S.,Seattle,US,Neighbors Relocation Services,info@neighborsmovingseattle.com
New Creations,newcreations.com,"New Creations is a mobile repair service that specializes in cosmetic surface repairs for various items, including homes, vehicles, and household goods. Their main functionality includes providing quick on-site repairs for interior and exterior damage, as well as custom furniture restoration. Key features include a simple process for getting quotes, eco-friendly practices, and a network of over 75 cities across the country for convenient service delivery.",51-200,Coast Meridian Rd.,Port Coquitlam,CA,New Creations,northernnj@newcreations.com
Nilson Van and Storage,nilsonvan.com,"Nilson Van and Storage is a moving company that offers a range of relocation services for both residential and commercial clients. Their main functionalities include local, long-distance, international, and specialized moving solutions such as packing, heavy equipment transport, and storage options. Key features include customized moving quotes, customs clearance, and the ability to handle various types of moves, including military and government relocations, ensuring smooth transitions and efficient transportation. They also provide warehousing and installation services for hazardous materials like electronics and furniture.",51-200,6821 N Main St,Columbia,US,Nilson Van and Storage,info@nilsonvan.com
NOR-CAL Moving Services,nor-calmoving.com,"NOR-CAL is a moving company that provides a range of services for residential and commercial relocations in the Bay Area. Their main functionalities include local, long-distance, interstate, and international moving, as well as packing, storage, and customs clearance services. Key features include personalized customer service, transparent pricing with no hidden fees, and specialized solutions for various move types such as apartment moves, corporate relocations, and medical equipment relocation. They also offer online storage options and have a network of licensed movers to assist clients throughout the moving process.",51-200,3527 Arden Rd,Hayward,US,NOR-CAL Moving Services,leads@nor-calmoving.com
North American Van Lines,northamerican.com,"North American Van Lines is a moving company that provides a range of services for residential, long-distance, and international moves. Their main functionality includes offering personalized packing, unpacking, storage, and transportation solutions, as well as specialized moving for seniors and military personnel. Key features include transparent pricing, 24/7 customer support, and the ability to handle various moving needs such as furniture assembly, shipping, and customs assistance. They also provide resources like moving cost calculators and moving checklists to assist clients throughout their relocation process.",201-500,1 Or 1 Option 4 International Claims,Oakbrook Terrace,US,North American Van Lines,intlclaims@sirva.com
NorthStar Moving Company,northstarmoving.com,"NorthStar Moving Company is a moving service provider that offers local, long-distance, and international moves, as well as storage solutions. They provide luxury packing packages and custom move plans tailored to individual needs, utilizing eco-friendly materials and renewable energy practices. The company operates in California, Arizona, and Texas, and has received multiple awards for its customer service and commitment to sustainability. NorthStar also emphasizes community outreach and offers free estimates through video chat.",51-200,19401 Business Center Dr,Northridge,US,NorthStar Moving,info@northstarmoving.com
Olympic Moving & Storage,olympicmovers.net,"Olympic Moving & Storage is a family-owned moving company that offers local, long-distance, and international moving services in the Puget Sound area, including Olympia, Tacoma, and Federal Way. Their main functionality includes providing personalized move planning, virtual estimates, and secure storage solutions tailored to various needs such as furniture, home appliances, and office relocations. Key features include a trained staff, competitive pricing, and a focus on customer service throughout the moving process.",51-200,935 Poplar St. Se,Olympia,US,Olympic Moving & Storage,support@olympicmovers.net
Oz Moving & Storage,ozmoving.com,"Oz Moving & Storage is a licensed and insured moving company based in New York City, offering a range of relocation services including local, long-distance, international, and commercial moving. Their main functionality includes packing, organizing, and transporting items such as furniture, art, and artwork, with options for same-day service and specialized packing services. Key features include guaranteed upfront pricing, transparent communication, and a commitment to safety through certified staff and industry-recognized certifications. They also provide secure storage solutions and have a network of over 1,000 locations across New York city and beyond.",51-200,155 Water St,Brooklyn,US,Oz Moving & Storage,info@ozmoving.com
Palmer Moving Services,palmermoving.com,"Palmer Moving Services is a full-service moving company based in Detroit, MI, specializing in residential and commercial moves. They offer a range of services including local, international, intermodal, interstate, and office relocation, as well as packing, unpacking, and storage solutions. The company operates under the Atlas Van Lines brand, ensuring high-quality service with regular inspections and customer feedback to improve moving efficiency. Palmer Moving Services also provides pre-move counseling, policy consulting, and reporting services to help clients manage their moving needs effectively.",51-200,5411 Jackson Rd,Ann Arbor,US,Palmer Moving Services,palmer@palmermoving.com
Pro Piano Movers,pianopromovers.com,"Pro Piano Movers is a moving service based in Santa Ana, CA, specializing in specialized moves for homes, studios, businesses, and residential clients. They offer a range of services including local, long-distance, office, student, and commercial moving support, as well as specialized moving for pianos, furniture, and special items like art and household belongings. The company emphasizes careful handling, communication, and safety throughout the relocation process, ensuring that each move is handled with care and professionalism. Pro Piano Mo Moving also provides additional services such as protective equipment, safe transport, and flexible scheduling options to accommodate various moving needs.",51-200,901 W Civic Center Dr,Santa Ana,US,Pro Piano Movers,info@pianopromovers.com
Premiere Van Lines,premierevanlines.com,"Premiere Van Lines is a moving company that offers residential and commercial moving services across various locations in Canada. Their main functionality includes providing packing, unpacking, and storage solutions for homes and offices, as well as international moves. Key features include a network of branches for local assistance, an online moving calculator to estimate costs, and a commitment to customer satisfaction with a focus on safe handling of belongings.",51-200,900-3 Robert Speck Parkway,Abbotsford,CA,Premiere Van Lines,enquiries@pvlmoving.com
Quality Services Moving,qsmoving.com,"Quality Services Moving is a moving company that offers residential, corporate, and international relocation services. Their main functionality includes local, long-distance, interstate, packing, storage, and specialized services for senior relocations and vehicle transportation. They provide personalized moving assistance tailored to individual customer needs and utilize advanced logistics and technology to ensure smooth transitions. The company also features over 100,000 square feet of secure storage solutions and operates in-house to manage all aspects of the move process.",51-200,10595 Furnace Road,Lorton,US,Quality Services Moving,sales@qsmoving.com
Queen City Transitions,queencitytransitions.com,"Queen City Transitions offers senior moving services and estate dispersal for seniors and their families. Their main functionality includes organizing, sorting, and downsize items, coordinating movers, arranging shipments, and providing professional packing and relocation assistance. They also offer related services such as cleaning, waste removal, and senior escort support to help seniors navigate the process of selling or liquidating their homes. The company focuses on personalized service and aims to create a stress-free transition for clients throughout the move.",51-200,3582 Twenty Mile Way,Loveland,US,Queen City Transitions,sandy@queencitytransitions.com
Reindeer Logistics,reindeerauto.com,"Reindeer Auto Relocation offers vehicle relocation services for individuals and businesses in the U.S., Canada, and worldwide. Their main functionality includes providing personalized moving assistance, managing costs, and ensuring a safe and stress-free move through a 24/7 team of specialists. Key features include an online quote request process, real-time tracking of the move, and a commitment to customer service with a focus on building trust and understanding.",51-200,501 Pennsylvania Parkway,Carmel,US,Reindeer Logistics,info@reindeerauto.com
Roadway Moving,roadway.nyc,"Roadway Moving is a moving company that offers residential and commercial moving services across various locations in New York City, Los Angeles, Miami, and Philadelphia. Their main functionalities include local moving, interstate moving, apartment moving, pool table moving, and art moving. They also provide secure storage solutions for belongings, including short-term and long-term storage, as well as GPS tracking to ensure efficient move management. The company emphasizes customer satisfaction and community involvement through its referral program and donation initiatives.",51-200,845 Explore All S,New York,US,Roadway Moving,info@roadwaymoving.com
Roadway Moving,roadwaymoving.com,"Roadway Moving is a moving company that offers a variety of services including local, long-distance, interstate, and international moves for both residential and commercial clients. Their main functionality includes providing white-glove moving, art moving, and secure storage solutions. Key features include GPS tracking for efficient packing and unpacking, a referral program, and a commitment to customer service through their Platinum Referral Program. Roadway Moving operates across multiple locations in New York City, Los Angeles, Miami, and other regions.",51-200,845 3Rd Ave,New York,US,Roadway Moving,info@roadwaymoving.com
Rose Moving & Storage,rosemoving.com,"Rose Moving & Storage is a moving company based in Canton, MI, offering a range of services for both residential and corporate moves. Their main functionalities include household moving, commercial moving, international relocation, office installations, and warehouse storage solutions. They provide personalized moving plans tailored to individual needs, handle all aspects of the move, including packing, loading, and unpacking, ensuring quality service from start to finish. The company emphasizes customer satisfaction and offers flexible pricing options throughout the moving process.",51-200,41775 Ecorse Road,Belleville,US,Rose Moving & Storage,rose@rosemoving.com
Royal Hawaiian Movers,royalhawaiianmovers.com,"Royal Hawaiian Movers is a moving company that specializes in residential and international moves across the islands of Hawaii, including Oahu, Maui, Kauai, and the Big Island. They offer a range of services such as DIY moving, storage solutions, trucking, warehousing, and special shipping services. The company employs trained movers who provide personalized support throughout the move process, ensuring a smooth experience for customers, from packing to post-move assistance. Royal Hawaiian Moovers also emphasizes community service and offers resources like moving checklists and FAQs to assist clients.",51-200,3017 Ualena Street,Honolulu,US,Royal Hawaiian Movers,info@royalhawaiianmovers.com
Sea & Air International,sea-air.net,"Sea & Air International is an international moving company that offers a range of relocation services for individuals and businesses worldwide. Their main functionality includes providing customized moving plans, customs clearance management, storage solutions, and white glove packing to ensure safe handling of belongings. They handle various moves such as household, corporate, fine arts, and diplomatic relocations, catering to both individual clients and organizations looking to relocate internationally. The company emphasizes personalized service and efficient logistics to facilitate smooth transitions from New York City to their new destinations.",51-200,222 County Avenue,Secaucus,US,Sea & Air International,contact@sea-air.net
Siracusa Moving & Storage,siracusamoving.com,"Siracusa Moving & Storage is a moving company based in Connecticut that offers a range of services including local, long-distance, international, and commercial moving. They provide packing, unpacking, and storage solutions for items like furniture, vehicles, and medical equipment. With over 45 years of experience, Siracusa specializes in specialized moves such as senior relocations, corporate relocation, and university transfers, ensuring personalized service and support throughout the move process. The company also operates an online store with over 1 million square feet of warehouse space for efficient storage needs.",51-200,250 Commerce Circle,New Britain,US,Siracusa Moving & Storage,info@siracusamoving.com
South Hills Movers,southhillsmovers.com,"South Hills Movers is a moving company based in Pittsburgh, PA, offering residential and corporate relocation services. They specialize in local moves across the Pittsburgh area, as well as international relocations with trucks equipped with GPS for real-time tracking. The company provides free estimates and emphasizes customer service throughout the move process, ensuring a seamless experience for clients.",51-200,3132 Industrial Blvd,Bethel Park,US,South Hills Movers,contactus@southhillsmovers.com
Square Cow Movers,squarecowmovers.com,"Square Cow Movers is a moving company that offers a range of services for both residential and long-distance moves across Texas, Florida, and other states. Their main functionality includes providing packing materials, heavy lifting assistance, and labor only services for clients who prefer to work independently. Key features include personalized moving consultations, transparent pricing with no hidden fees, and a commitment to customer satisfaction through their No Problem, No Pleasure policy. They also offer free estimates and have a network of locations in Texas, Tennessee, Georgia, and North Carolina.",51-200,2500 Brushy Creek Loop,Cedar Park,US,Square Cow Movers,sales@squarecowmoovers.com
Starving Students,starvingstudents.com,"Starving Students Movers is a moving company that offers a range of services including local, long-distance, corporate relocation, commercial, and international moves. They provide packing, storage, estate cleanouts, and specialized moves for seniors and trade shows across various regions in California, Washington DC, Texas, Louisiana, and New Orleans. The company emphasizes professional service, competitive pricing, and customer satisfaction, with a strong rating system based on customer reviews to ensure quality support. Starving Students has over 45 years of experience and operates its own moving trucks to deliver efficient and cost-effective moving solutions.",51-200,,Los Angeles,US,Starving Students,info@ssmovers.com
Storage Scholars,storagescholars.com,"Storage Scholars offers moving and storage services specifically for college students. Users can sign up in five minutes to receive tailored solutions for their move-out needs, including door-to-door pick-up and delivery, secure climate-protected storage options, and shipping ship boxes. The service aims to simplify the relocation process by providing free packing supplies, personalized communication, and a network of trusted movers to ensure quality support throughout the process.",51-200,500 Winston M,Winston-Salem,US,Storage Scholars,sam@storagescholars.com
The Dudes Moving Co.,thedudesmovingco.com,"The Dudes Moving Co. is a family-owned moving company based in Kansas City, MO, offering a range of services including local and long-distance moves, furniture packing, junk removal, and office relocations. Their main functionality is to provide professional moving assistance tailored to individual needs, with features such as same-day notice for last-minute moves, transparent quotes without hidden fees, and no insurance costs. The company emphasizes customer satisfaction and aims to deliver high-quality moving solutions while ensuring transparency and trust throughout the move process.",501-1000,3849 Main Street,Kansas City,US,The Dudes Moving,kaileb@thedudesmovingco.com
The Moving Company,themovingcompany.net,"The Moving Company offers moving services for both residential and commercial clients in Texas. Their main functionalities include packing, loading, unloading, and unpacking of belongings, ensuring safe and secure relocation. They utilize a fleet of medium-duty trucks equipped with features like diesel engines and specialized boxes, providing reliable transportation to various cities across Texas and beyond. The company also offers packing supplies such as bubble wrap and box protectors to support the smooth transition for families during their move.",51-200,28991 I H 10 W,Boerne,US,The Moving,lreil@themovingcompany.net
"TSI (Transit Systems, Inc.)",tsishipping.com,"TSI Shipping offers personalized moving and shipping services for both residential and commercial moves. They provide a range of options including small moves, estate distribution, senior relocation, and emergency services. TSI has a nationwide network of movers, shippers, and organizers that can accommodate various budgets and needs, ensuring efficient and timely delivery of belongings. Their services also include specialized shipping for items like furniture, medical devices, and art, along with resources to help customers understand the logistics of their moving process.",501-1000,999 Old Eagle School Road,Wayne,US,"TSI (Transit Systems, Inc.)",info@transitsystems.com
U-Haul,uhaul.com,"U-Haul is a moving and storage service that offers a wide range of products including trucks, trailers, self-storage solutions, and packing supplies. Customers can make online reservations for moving within the U-Hhaul network, access moving assistance through a marketplace, and purchase moving boxes or accessories. The company also provides services such as propane refills, emergency storage options, and specialized vehicles like the Toy Hauler, which allows for quick delivery across the US and Canada. Additionally, U-haul features an app for easy management of moving needs and quotes.",5001-10000,2727 N. Central Ave.,Phoenix,US,U-Haul,propane@uhaul.com
Undergrads LLC,undergrads.com,"Undergrads Moving is a moving service that connects customers with vetted university-student movers for various types of moves. The company offers services such as heavy lifting, apartment relocations, and truck rentals, all handled by students in their own homes or colleges. Key features include a guarantee of on-time arrival, transparent pricing without hidden fees, and damage coverage on every move. Customers can easily book moving through an online form, receive instant estimates, and benefit from a streamlined process that includes scheduling, budgeting, and insurance options.",51-200,4601 Park Rd,Charlotte,US,Undergrads,scheduling@undergrads.com
United Van Lines,unitedvanlines.com,"United Van Lines is a moving company that offers a range of services for both local and international moves. Their main functionalities include packing, unpacking, storage, car shipping, and custom moving solutions tailored to individual needs. Key features include a one-stop move portal for online management, customizable moving plans, and specialized services for corporate relocations, ensuring a smooth relocation experience for clients across the United States.",501-1000,1 Premier Drive,Saint Louis,US,United Van Lines,integritymatters@unigroupinc.com
UNITS Moving and Portable Storage,unitsnorthdenver.com,"Units is a moving and storage service that specializes in providing portable storage containers and self-storage solutions for long-distance moves. Their main functionality includes offering secure, safe, and efficient storage options for both residential and commercial clients, with a focus on customer satisfaction and exceptional service. Key features include a delivery system called ROBO-UNIT, which allows for easy container placement and quick turnaround times for rentals or storage needs. Unites also provides packing materials and professional packers to assist customers throughout the moving process.",51-200,,Denver,US,UNITS Moving and Portable Storage,sales@unitsofdenver.com
"University Moving and Storage Co., Inc.",universitymoving.com,"University Moving & Storage is a moving company based in Farmington Hills, MI, offering a range of services for residential, commercial, and international moves. Their main functionalities include local, interstate, and intrastate moving, as well as specialized storage solutions and logistics services. They provide free quotes, virtual surveys, and financing options to assist customers with their moving needs. The company has over 50 years of experience and operates multiple locations across Michigan and Ohio.",51-200,8735 Rite Track Way,West Chester,US,University Moving and Storage,dpobrasil@sirva.com
Home Sweet Home,unpackme.com,"Home Sweet Home is a global organization that provides relocation support for individuals and families. Their main services include onsite management, house cleaning, and a Discard and Donate Program to help reduce waste in local communities. The company focuses on delivering personalized service while ensuring a positive impact on the environment through partnerships with over 1,000 professional organizers. They aim to create a stress-free moving experience by managing all aspects of the move from packing to settling into daily operations.",201-500,1650 S. Pacific Coast Highway,Redondo Beach,US,Home Sweet Home,sdileo@unpackme.com
United Van Lines Ltd.,uvl.ca,"United Van Lines Ltd. is a moving company that offers a range of services for long-distance and international moves across Canada, including local moving, cross-border relocation, packing, unpacking, and car transport. They provide customized moving solutions tailored to individual needs and budgets, ensuring customer satisfaction throughout the move process. Key features include dedicated Move Manager support, professional packing and unpacking services, and a commitment to environmental sustainability through their eco-friendly practices.",51-200,7229 Pacific Circle,Mississauga,CA,United Van Lines,privacyofficer@moverone.ca
Von Paris Moving & Storage,vonparis.com,"Von Paris Moving is a full-service moving company based in Baltimore that offers residential, commercial, and international relocation services. They provide comprehensive support for long-distance moves, including packing, unpacking, and storage solutions, as well as document management services to help clients manage their belongings efficiently. The company operates state-of-the-art storage facilities with humidity-controlled chambers, ensuring secure and efficient handling of client goods. Their team consists of experienced professionals who ensure smooth transitions and personalized service throughout the move process.",51-200,1 Vale Rd,Bel Air,US,Von Paris Moving & Storage,information@vonparis.com
Ward North American,wardnorthamerican.com,"Ward North American is a moving company that offers a range of services for both residential and commercial moves in Texas. Their main functionalities include local, long-distance, corporate relocation, household storage, art and piano moving, and third-party moving. They provide free quotes, conduct background checks for drivers, and offer specialized services such as furniture installation and hospital move management. The company emphasizes professional training for their movers and aims to ensure safe and efficient moving experiences.",51-200,7275 Green Mountain Rd,San Antonio,US,Ward North American,marketing@wardnorthamerican.com
Surv,wesurv.com,"Surv's Local Home Services offers a range of home maintenance and moving assistance for homeowners. Their main functionality includes providing services such as local moving, furniture assembly, junk removal, yard work, gardening, and more. Customers can book jobs online in just three simple steps, after which trained team members will arrive to complete their to-do list tasks efficiently. The company emphasizes community service by ensuring that all staff are insured and trained to meet individual customer needs.",51-200,7870 East Kemper Road,Cincinnati,US,Surv,info@wesurv.com
Wheaton World Wide Moving,wheatonworldwide.com,"Wheaton World Wide Moving is a moving company that offers a range of services for residential, corporate, and commercial moves. Their main functionalities include providing estimates, organizing move-in/out-of-state moves, packing, and storage solutions. They operate a network of over 300 local agents across the U.S., offering tailored moving packages for various needs such as senior relocations, employer relocation, and international moves. Wheaton emphasizes customer service and quality assurance throughout the moving process, ensuring timely communication and support for clients.",201-500,8010 Castleton Rd,Indianapolis,US,Wheaton World Wide Moving,wheatoncustomercare@wvlcorp.com
