"﻿Input:Domain","Input:Accelerator","Input:Cohort","Domain","Name","Industry Groups","Business Model","Keywords","Description","Social URLs","Score","Revenue Range","Employees","Start Date","Street","City","State","Zip","Country","Phones","Public Emails","MX Provider","Redirect Domain","Update Date"
"deeptrace.com","Y Combinator","Fall 2025","deeptrace.com","Deeptrace Labs, Inc.","SAAS:0.99, SOFTWARE:0.85","B2B:0.92","deeptrace slack:0.53, tools deeptrace:0.52, production deeptrace:0.52, teams deeptrace:0.51, deeptrace announces:0.49, alert production:0.48, analysis deeptrace:0.48, deeptrace supports:0.48, experience deeptrace:0.48, demo deeptrace:0.45, investigate alert:0.45, alert intelligence:0.43, chat deeptrace:0.43, investigation capacity:0.37, debug faster:0.33","Deeptrace is an AI-powered tool designed to automate the detection and resolution of production issues in software systems. It analyzes data from logs, traces, metrics, and code to identify root causes of alerts before they escalate into incidents. Key features include automatic priority ranking for related alerts, automated pull requests, real-time mapping of system architecture, and integration with various tools like Slack and Git to streamline communication and improve efficiency. Deeptrace aims to reduce alert fatigue by providing a dedicated platform for engineers to focus on their core work while ensuring reliability and efficient problem management.","https://www.linkedin.com/company/deeptrace-ai, https://twitter.com/deeptraceai","87","1-10M","1-10","2025-05-24","","San Francisco","CA","94103","US","","founders@deeptrace.com","google.com","","2026-07-13"
"delineate.pro","Y Combinator","Winter 2025","delineate.pro","Delineate","BIG_DATA_AND_ANALYTICS:0.73, PHARMACEUTICALS:0.79","B2B:0.92","quantitative evidence:0.52, fda clinical pharmacology:0.47, dose selection:0.42, scalable pathway:0.4, biomarker threshold strategy:0.38, trial design:0.36, model decision engine:0.35, decouple efficacy:0.32, independent extraction:0.3, response landscape:0.28, formal arbitration source:0.24, market access project:0.24, analyte poppk framework:0.23, lifecycle management:0.2, risk curve:0.16","Delineate is a platform that provides quantitative evidence for clinical development and regulatory decision-making in the pharmaceutical industry. It aggregates data from FDA pharmacology reviews, published literature, and other relevant studies to create accurate models for drug class evaluations and trial design. Key features include automated modeling of efficacy and safety curves, digitalization of existing datasets, and access to a comprehensive database for optimizing dose justification and trial strategies across various therapeutic areas. The platform supports over 300 drug classes and offers tools for real-time analysis and validation of clinical trials.","https://www.linkedin.com/company/delineate-pro","138","1-10M","11-50","2024-01-26","1010 Massachusetts Ave","Cambridge","MA","02138","US","","","google.com","","2026-07-10"
"denki.ai","Y Combinator","Fall 2025","denki.ai","Denki","CYBERSECURITY:0.68, SAAS:0.15","B2B:0.93","audits walker:0.64, powered audits:0.6, audit teams:0.6, automate audit:0.59, auditing expert:0.58, audit tasks:0.58, audit trail:0.57, internal auditing:0.55, auditors ai:0.55, ready auditing:0.54, dedicated audit:0.54, audit packs:0.52, denki automate:0.52, guardian agent:0.43, validates control:0.42","Denki is a platform designed to automate audit tasks for internal auditors, focusing on compliance with regulations like SOX and BSA/AML. Its main functionalities include real-time control testing, automated financial reconciliation, and the ability to map and manage controls in various formats. Key features include access reconciliation, anomaly detection, customizable audit programs, and integration with existing systems to streamline auditing processes. The platform also offers tools for tracking transactions, ensuring accurate inventory management and identifying hidden gaps within compliance efforts.","https://www.linkedin.com/company/denki-ai","85","1-10M","1-10","2024-11-23","","Walker","MI","","US","","","google.com","","2026-06-26"
"designarena.ai","Y Combinator","Summer 2025","designarena.ai","DesignArena by Arcada Labs","SAAS:0.97","B2B:0.57","crowdsourced benchmark:0.49, creative prompt:0.24, art slides text:0.11, slides text:0.05","The website offers a platform for users to create and manage their own digital products, focusing on design and marketing strategies. It features various categories of products, including visual media, packaging, and software solutions, allowing users to easily upload designs and track their progress. The site also provides information on upcoming events such as the International Design Awards and the Christmas Market, along with options for user-friendly interfaces and promotional materials like stickers and brochures. Users can access these resources to enhance their online presence and improve their brand visibility.","https://x.com/designarena","85","1-10M","11-50","2025-05-31","","","","","US","","","google.com","","2026-07-15"
"diligencesquared.com","Y Combinator","Fall 2025","diligencesquared.com","DiligenceSquared","BIG_DATA_AND_ANALYTICS:0.88, SAAS:0.57","B2B:0.95","structured insights:0.54, ai voice agents:0.47, expert interviews:0.45, market intelligence:0.41, vast data sets:0.34, instant answers:0.33, consulting firm investment:0.3, use cases team:0.29, fast cost:0.25, present findings:0.21, data security:0.19, selection kpcs:0.17, test downside:0.16, endless pdfs:0.12, product launch:0.08","DiligenceSquared is an AI-powered consulting firm that specializes in investment-grade market research and commercial due diligence. It conducts simultaneous expert interviews to gather insights quickly, often within days, compared to traditional consulting methods. The platform offers built-in traceability for verifying findings, ensuring reliable data analysis for informed decision-making in private equity, healthcare, and corporate sectors. Key features include automated interview generation, structured insights, and a focus on timely turnaround times for deal underwriting and risk mitigation.","https://www.linkedin.com/company/diligencesquared","85","1-10M","1-10","2025-03-06","66 Hudson Blvd E 23Rd","New York","NY","10001","US","","contact@diligencesquared.com, privacy@diligencesquared.com","microsoft.com","","2026-07-11"
"dispatchersystems.com","a16z Speedrun","SR005","dispatchersystems.com","Dispatcher Inc.","SAAS:0.98","B2B:0.75, B2G:0.77","aerial intelligence system:0.58, automated patrols eyes:0.48, use dispatcher:0.47, real world operational:0.45, patrol route:0.44, intelligence gathering:0.38, actionable insights:0.33, agent capable:0.32, safety triggers:0.29, instant reports:0.28, yield insights:0.25, agriculture crop stress:0.23, decisions contingency response:0.2, hotspot detection:0.16, patterns responsive sweeps:0.14","Dispatcher is a real-time aerial intelligence system that transforms any drone into an agent for making real- time decisions. It provides automated patrols to the perimeter, incident response, and actionable data through instant reports and dashboards. The system supports various industries, including construction, agriculture, and security, offering tailored solutions for critical environments. Key features include adaptive search patterns, customizable alerts, and real-world operational insights.","","29","1-10M","1-10","2025-09-23","","Champaign","IL","61820","US","","info@dispatchersystems.com","google.com","","2026-07-08"
"doe.so","Y Combinator","Summer 2025","doe.so","Doe Labs, Corp.","SAAS:0.95","B2B:0.86","work ai:0.52, ai agents:0.49, agent infrastructure:0.48, runs agents:0.48, task sla:0.47, agent cloud:0.46, doe agent:0.45, doe ai:0.43, read enterprise:0.42, analysis sandbox:0.4, run research:0.38, systems doe:0.38, cases resources:0.37, leverage doe:0.36, governed runtime:0.34","Doe is an AI platform designed to streamline work management for enterprise teams. It allows employees to delegate real work, enabling them to access and manage tasks from various communication channels like Slack and email, while ensuring compliance with company policies through SOC 2 controls. Key features include automated task assignment, integration with existing systems, continuous learning to build organizational memory, and a focus on improving operational efficiency by automating repetitive tasks across organizations.","https://www.linkedin.com/company/doe-labs, https://x.com/doelabs","66","1-10M","1-10","2025-03-25","2261 Market Street","San Francisco","CA","94114","US","","hello@doe.so, legal@doe.so, support@doe.so","google.com","","2026-06-24"
"doublespeed.ai","a16z Speedrun","SR005","doublespeed.ai","Doublespeed","SAAS:0.96","B2B:0.92","attention agents:0.52, ai content:0.51, agentic accounts:0.49, doublespeed ai:0.49, content automation:0.45, content human:0.45, content smarter:0.43, tuning ai:0.43, agents better:0.43, intelligence personas:0.43, users algorithms:0.4, creators niche:0.36, management hyper:0.36, ops workflow:0.34, actions thousands:0.33","Doublespeed is a platform that provides automated social media accounts and content production services for brands, agencies, and creators. It allows users to create hyper-specific personas, manage bulk content, and automate responses across platforms like TikTok, Instagram, and LinkedIn. Key features include a workflow builder, AI-driven content creation, remarking capabilities, and the ability to deploy content quickly and efficiently, all while ensuring real-time monitoring of account parameters and engagement with content on physical devices.","https://www.linkedin.com/company/doublespeed","82","1-10M","1-10","2025-05-08","","","","","US","","zuhair@doublespeed.ai","google.com","","2026-07-02"
"edviroenergy.com","Y Combinator","Summer 2026","edviroenergy.com","Edviro","ENERGY:0.92, SAAS:0.97","B2B:0.93, B2G:0.51","engineering edviro services:0.56, agentic energy management:0.55, energy management:0.47, agentic platform:0.38, energy optimization:0.36, valuable taxpayer money:0.29, local school:0.23, power hursh:0.23, proper dashboarding:0.18, technical expertise:0.18, passionate college:0.14, stack software:0.12, day api:0.11, shah extensive experience:0.02, right person:-0.07","Edviro is a software platform designed for school districts to manage their energy systems effectively. It identifies and analyzes data related to overbilling, over billing, and operational efficiency to identify anomalies and implement effective fixes. Key features include real-time dashboards for monitoring energy usage, automated reporting on costs and savings, and the ability to delegate these solutions to schools that can save valuable taxpayer money. The platform also offers API integration for easy access to its services and tools for efficient energy management.","","36","1-10M","11-50","2025-02-16","","","","","US","","founders@edviroenergy.com, partnerships@edviroenergy.com","google.com","","2026-07-12"
"efficientsc.com","Techstars","2025","efficientsc.com","efficientSC","SAAS:0.8, SUPPLY_CHAIN_AND_PROCUREMENT:0.91","B2B:0.97","solutions backorder management:0.36, standardization initiatives:0.35, supply chain team:0.33, substitute database:0.29, supply chain:0.29, action plan:0.24, solutions backorder:0.24, conversion tracking:0.21, resolve backorders:0.19, chain team:0.19, mission control:0.18","The website offers a range of services focused on managing and optimizing business processes for companies. It provides solutions for various sectors, including logistics, human resources, and technology, aimed at enhancing efficiency and reducing costs in operations. Key features include automated data management, integration with existing systems, and support for digital transformation initiatives. The site also emphasizes the importance of strategic planning to improve operational efficiency and reduce waste in businesses.","https://www.linkedin.com/company/efficientsc","84","1-10M","1-10","2023-01-30","","Hoboken","NY","","US","","info@efficientsc.com","google.com","","2026-07-17"
"eigenpal.com","Y Combinator","Winter 2026","eigenpal.com","EigenPal","SAAS:1.0","B2B:0.92","ai workflows:0.61, workflows ai:0.6, workflows automation:0.57, eigenpal automated:0.56, documents ai:0.55, workflow learning:0.54, automation ai:0.53, automate bank:0.52, automation platform:0.51, document workflows:0.51, document automation:0.51, assessment workflows:0.47, invoices ai:0.45, enterprises aicpa:0.44, agent builds:0.42","EigenPal is an AI-driven document automation platform designed to streamline the processing of various types of documents, including bank statements, invoices, and contracts. The platform learns from user examples and automatically creates workflows by identifying patterns and validation rules. Key features include automated field extraction, real-time tracking of processing time, integration with cloud services for security, and a focus on accuracy through detailed data evaluation. EigenPal also offers tools for testing and verifying workflow changes before deployment.","https://www.linkedin.com/company/eigenpal, https://x.com/eigenpal","24","1-10M","11-50","2025-09-27","","San Francisco","CA","94105","US","","","google.com","","2026-06-27"
"elementix.ai","TinySeed","Fall 2025","elementix.ai","Elementix Inc","FINANCIAL_SERVICES:0.69, SAAS:0.9","B2B:0.72","active borrowers:0.58, private lenders:0.56, lenders complete visibility:0.55, borrower entities recent:0.52, real estate investors:0.43, borrower intelligence platform:0.43, nationwide private money:0.3, ownership intelligence:0.29, track investor portfolios:0.27, undisclosed liabilities:0.26, credit box target:0.25, tn market:0.19, volume michael torres:0.17, multifamily units:0.04, signals sj sarah:0.03","Elementix is a platform that provides private lenders with visibility into borrower and investor activities. It analyzes over 100 million documents and tracks millions of investors, offering tools to identify active borrowers and streamline the underwriting process. Key features include real-time monitoring of investment portfolios, risk mitigation strategies, and access to verified contact information for investors, helping lenders make informed decisions based on their financial data.","https://www.linkedin.com/company/elementix-ai","88","1-10M","1-10","2025-03-26","221 W 9Th St","Wilmington","DE","19801","US","","contact@elementix.com, compliance@elementix.com","google.com","elementix.com","2026-07-13"
"eloquentai.co","Y Combinator","Spring 2025","eloquentai.co","Eloquent AI","FINANCIAL_SERVICES:0.71, SAAS:0.21","B2B:0.88","services ai:0.57, fixer autonomously:0.56, automation fixer:0.55, fixer enterprise:0.53, ai agent:0.53, customers ai:0.51, end automation:0.51, automate customer:0.5, support automate:0.5, agent works:0.5, agents eloquent:0.49, service fixer:0.49, workflows ai:0.48, chatbot autonomously:0.44, automation cash:0.43","Eloquent AI offers a platform that automates customer support in financial services and insurance. Its main functionality includes autonomously resolving customer inquiries, managing complex workflows, and ensuring compliance with regulations without the need for engineering or APIs. Key features include 24/7 support, real-time optimization of agents based on business rules, automated issue resolution, and integration with existing systems to enhance operational efficiency and customer satisfaction. The platform supports various sectors, including fintech, banking, insurance, and private equity, providing tailored solutions to meet specific client needs.","https://www.linkedin.com/company/eloquentai, https://x.com/eloqai, https://www.youtube.com/@eloquentaico","83","10-100M","11-50","2024-07-25","456 Montgomery Street","San Francisco","CA","94104","US","","privacy@eloquentai.co, legal@eloquentai.co","google.com","","2026-06-26"
"elyrasystems.com","Y Combinator","Spring 2026","elyrasystems.com","Elyra, Inc.","RESTAURANTS:0.98, SAAS:0.97","B2B:0.79","guest satisfaction:0.42, guest michelin:0.41, service style:0.37, ai availability:0.36, valuable guest:0.32, service calls:0.3, table talk:0.29, company table:0.23, grade service:0.21, help center product:0.19, living profile:0.16, real time:0.16, personal experience:0.16, favourite spot:0.13, return rate:0.1","Elyra is an AI-powered restaurant operations platform designed to enhance guest experiences and improve operational efficiency. It offers features such as voice agents for customer interaction, email concierge responses, real-time reservations, and detailed guest intelligence to optimize table seating and revenue growth. The system continuously monitors guest preferences and behavior to create a personalized experience that encourages repeat visits, while also capturing feedback from guests throughout the process.","https://www.linkedin.com/company/elyra, https://www.linkedin.com/company/elyrasystems, https://twitter.com/elyrasystems, https://x.com/elyrasystems","28","1-10M","1-10","2025-09-28","1111B S Governors Ave","Dover","DE","19904","US","+46768964770","info@elyrasystems.com, hello@elyrasystems.com","google.com","","2026-07-09"
"emanate.ai","a16z Speedrun","SR006","emanate.ai","Emanate","SAAS:0.86, SOFTWARE:0.08","B2B:0.63, B2C:0.73","ai revenue:0.54, revenue engine:0.5, emanate ai:0.49, emanate runs:0.47, engine ai:0.47, growth emanate:0.44, growth engine:0.44, accounts autonomously:0.42, prospects automatically:0.41, systems emanate:0.39, empower pricing:0.38, monitored opportunity:0.36, expansion tracked:0.35, compounding workflow:0.32, driving exponential:0.31","Emanate is an AI revenue engine designed for industrial materials companies to enhance their inbound and outbound revenue operations. It automates processes such as phone calls, email RFQs, and quotes, while also tracking account expansion and pricing insights through detailed analysis. Key features include automated prospect research, continuous optimization of revenue strategies, and a focus on customer experience to drive growth and efficiency across various workflows.","https://www.linkedin.com/company/emanateai, https://x.com/emanateai","82","1-10M","1-10","2024-02-23","","San Francisco","CA","94114","US","","contact@emanate.ai, privacy@emanate.ai","google.com","","2026-06-27"
"embedder.com","Y Combinator","Summer 2025","embedder.com","Embedder","SOFTWARE:0.99","B2B:0.92","logic analyzer:0.31, remote debugging:0.27, test equipment:0.26, rate usartdiv:0.25, reference manual section:0.24, runtime state:0.24, clock tree:0.21, pc lr:0.18, detect baud:0.16, bit mantissa:0.16, decoded lin bus:0.14, init ok:0.12, reviewable evidence:0.12, sync byte:0.11, new value:0.05","Embedder is an AI agent designed for firmware development that assists in reading, writing code, running tests, and fixing errors on embedded systems. It reads various datasheets, manages hardware configurations, and provides real-time diagnostics to optimize software development processes. Key features include automated testing, low error detection, and the ability to configure specific hardware components or automate routine tasks across multiple MCUs.","https://www.linkedin.com/company/embedder-dev, https://x.com/embedder_dev, https://www.youtube.com/@embedder-dev","87","1-10M","11-50","2023-07-07","","Austin","TX","95134","US","","dpo@embedder.com, security@embedder.com, billing@embedder.com, help@embedder.com, legal@embedder.com, founders@embedder.com, privacy@embedder.com","google.com","","2026-07-08"
"enhancedradar.com","Y Combinator","Winter 2025","enhancedradar.com","Enhanced Radar","BIG_DATA_AND_ANALYTICS:0.76, DEFENSE_AND_AEROSPACE:0.9","B2B:0.89","aviation operational intelligence:0.56, radar pattern datasets:0.47, applied ai company:0.43, ai training datasets:0.41, building aviation solutions:0.41, building intelligent systems:0.38, data collection:0.26, quality assurance:0.22, runway incursion risks:0.16, unparalleled efficiency:0.16, transportation domain:0.16, controller communications:0.12, agnostic methods:0.1, house labelling:0.06, address message:0.03","Enhanced Radar is a company that develops intelligent aviation systems to enhance safety and efficiency in the transportation sector. Their main functionality includes creating rigorous training datasets for pilot control, as well as providing advanced analytics for flight data collection and operational analysis. Key features include real-time monitoring of aircraft movements, automated communication with pilots, and tools for managing airport operations through AI-driven insights.","https://www.linkedin.com/company/enhanced-radar","100","1-10M","1-10","2024-08-12","","San Francisco","CA","","US","","join@enhancedradar.com, inquiries@enhancedradar.com","google.com","","2026-07-04"
"everestagi.com","Y Combinator","Fall 2025","everestagi.com","Everest","IT_SERVICES:0.89","B2B:0.96","instant technical support:0.49, instant technical:0.42, technical support:0.4, demo explore:0.27, demo explore careers:0.25, explore careers:0.17","The website offers financial advice and resources for individuals seeking to invest in their personal finances, focusing on the money they need. It covers a range of topics including general knowledge, tax preparation, retirement planning, and investment opportunities. Users can find information about various financial products such as insurance, taxes, and life sciences, with specific recommendations for specific areas like income security, health, and education. The site also features a newsletter sign-up for updates on new projects and events related to the financial world.","","20","1-10M","11-50","2023-04-27","","San Francisco","CA","","US","","","google.com","","2026-06-25"
"evolveplatform.ai","500 Global","","evolveplatform.ai","Evolve","EDUCATION:0.64, HUMAN_RESOURCES:0.57, SAAS:0.98","B2B:0.91","analytics cookies:0.67, advertising cookies:0.57, essential cookies:0.52, online advertising:0.38, enablement insights:0.37, integrations mobile app:0.35, evolve lms course:0.34, learning experiences:0.29, enterprise assessment tool:0.27, request book:0.24, answer engine:0.21, simulations knowledge base:0.18, performance platform:0.17, lifecycle coverage:0.16, total control:0.13","Evolve is an AI-native training platform designed for organizations to create and manage high-quality training programs. It offers a Learning Management System (LMS) that includes tools for course creation, assessment, and performance insights, allowing users to customize learning paths and audiences. Key features include the ability to generate custom courses quickly, conduct simulations for critical skills, and provide continuous support throughout the lifecycle of education. The platform supports various industries and aims to enhance employee development through data-driven decision-making.","https://linkedin.com/showcase/thenobleawards, https://www.linkedin.com/company/evolve-team, https://www.linkedin.com/company/evolveplatform, https://www.linkedin.com/company/gruposamel, https://www.facebook.com/thenobleawards, https://instagram.com/aiwithharsh, https://instagram.com/sameloficial?igsh=eddjzw1ubnmznhls, https://www.instagram.com/evolvestartup, https://www.instagram.com/thenobleaward, https://twitter.com/harshverma59, https://x.com/noble technology awards, https://x.com/savant_labs, https://x.com/thenobleawards","100","10-100M","11-50","2024-08-30","8 The Green","Dover","DE","19901","US","","stan@evolveplatform.ai, support@evolveplatform.ai, info@nobletechnologyawards.com","google.com","","2026-07-14"
"exitous.co","Techstars","2025","exitous.co","Exitous, Inc.","HUMAN_RESOURCES:0.96, SAAS:0.95","B2B:0.86","exiting employees:0.61, job exits:0.54, exitbetter tm:0.54, introducing exitbetter:0.54, exitous smart:0.53, offboarding exiting:0.52, offboarding employees:0.52, offboarded employees:0.5, exits happen:0.49, exits future:0.47, hr design:0.41, work skip:0.34, demo job:0.33, lifecycle company:0.32, manage impact:0.31","Exicating is a platform designed to assist HR teams in managing job exits and employee well-being. It provides tools for delivering personalized offboarding services, allowing employees to receive clear information and guidance throughout the entire lifecycle of their employment journey. Key features include real-time dashboards for HR teams, expert support from experts, and a user-friendly interface that simplifies processes and reduces stress during the offboarding process. The system aims to enhance employee experiences while ensuring compliance and clarity during this emotional transition.","https://www.linkedin.com/company/exitous, https://www.instagram.com/exitous.co","54","1-10M","1-10","2023-03-13","","","","","US","","support@exitous.co, exitbetter@exitous.co","google.com","","2026-07-12"
"expectedparrot.com","Y Combinator","Fall 2025","expectedparrot.com","Expected Parrot","SAAS:0.97","B2B:0.92","research agent:0.52, parrot expected:0.51, experiments ai:0.51, parrot game:0.5, agent simulations:0.5, parrot invaluable:0.48, surveys agents:0.46, parrot uses:0.46, run simulations:0.45, ai personas:0.44, validate humans:0.42, driven research:0.42, python skills:0.38, adaptive surveys:0.35, responses testimonials:0.35","Expected Parrot is a platform designed to streamline research workflows for researchers. It allows users to design and implement study plans, field surveys, and validate results using AI or human participants. Key features include customizable data labeling tasks, automated analysis of responses, and the ability to generate reports quickly through Python-friendly interfaces. The platform also supports various AI models and offers tools for testing robustness across different datasets.","","114","1-10M","1-10","2024-01-30","","Boston","MA","","US","","info@expectedparrot.com","google.com","","2026-07-08"
"ezraailabs.tech","a16z Speedrun","SR005","ezraailabs.tech","Ezra Recruiting","HUMAN_RESOURCES:0.98, SAAS:0.96","B2B:0.79","ai interviewer:0.56, manual hiring:0.42, agentic recruiting technology:0.4, demo recruiting:0.37, innovative voice:0.33, seamless candidate:0.29, live conversation:0.26, intelligent solution:0.23, access talent:0.22, minimal overhead:0.14, delayed bot:0.11, lean startup:0.09, relevant context:0.08, rebalanced process:0.06, complete transformation:0.02","Ezra Recruiting is an AI platform designed to enhance the hiring process by reducing administrative tasks and improving candidate visibility. It utilizes voice AI technology to simplify the interview process, helping recruiters identify authentic candidates and maintain clarity on their applications. Key features include automated resume generation, personalized feedback for better understanding of candidate interactions, and tools that help recruiters effectively assess applicants' backgrounds and build trust through context.","https://www.linkedin.com/company/ezraailabs, https://x.com/ezraailabs","92","1-10M","1-10","2025-01-29","","","","","US","","","google.com","ezrarecruiting.com","2026-07-14"
"f4.dev","Y Combinator","Summer 2025","f4.dev","F4 Industries","SOFTWARE:0.68","B2B:0.86","engineering drawing:0.46, production readiness:0.38, core analysis:0.35, design release:0.34, specialized export:0.33, rollout planning:0.31, lite free evaluation:0.3, industrial team:0.27, compare plan type:0.27, tolerance analysis:0.26, device hardware platform:0.23, environment coverage:0.22, product walkthrough upload:0.19, prone work:0.16, control legal counsel:0.07","F4 Industries is a software platform designed for analyzing and correcting General Data, Technical Information Technology (GDDT) in engineering drawings. It automates the identification, interpretation, and visualization of design components such as datum reference frames and tolerance zones, ensuring that designs are clear, manufacturable, and production-ready. Key features include 2D drawing import and viewing, automated labeling, syntax and rule validation, and visualization of key data points to enhance understanding and compliance with regulatory standards. The platform operates on-device processing without utilizing specialized tools or LLMs, making it suitable for industrial teams and organizations like aerospace and defense programs.","","87","1-10M","1-10","2025-01-25","","Usa","","","US","","contact@f4.dev","google.com","","2026-07-14"
"fastshot.ai","Y Combinator","Fall 2025","fastshot.ai","Fastshot","SAAS:0.97","B2B:0.82, B2C:0.54","apps fastshot:0.63, fastshot app:0.63, app maker:0.59, app builders:0.59, mobile apps:0.56, app investment:0.54, apps native:0.54, apps tutorial:0.52, apps add:0.51, tracker app:0.51, ai app:0.51, google admob:0.5, aggregator app:0.48, enterprise mobile:0.48, app flashcard:0.46","Fastshot is a mobile app development platform that allows users to create native applications for iOS and Android without any coding knowledge. It offers features such as an AI-powered builder, one-click APK builders, and support for various platforms like React Native and Magento. Users can design their apps, manage backend and authentication, and publish them to the App Store or Google Play with just a few clicks. Fastshot also provides tools for managing subscriptions, ad connections, and analytics to enhance user experience and monetization.","https://www.linkedin.com/company/fastshot, https://www.instagram.com/fastshot.ai, https://x.com/alexndrsukhanov, https://x.com/dmitryfatkhi, https://x.com/elvirafortune, https://x.com/fastshot_ai, https://www.youtube.com/@fastshotai","88","1-10M","11-50","2025-07-20","","San Francisco","CA","","US","","","google.com","","2026-07-17"
"feyenally.com","Techstars","2025","feyenally.com","Feyenally Inc.","HEALTHCARE:0.99, SAAS:0.71","B2B:0.65, B2C:0.5","accuracy eyetest solution:0.61, eye tests read:0.54, digital eye care:0.49, objective testing:0.4, better vision:0.36, results human error:0.35, instant results:0.33, ai technology:0.32, smartphone simple process:0.31, instant refractive error:0.3, innovating advanced imaging:0.29, clinical research:0.25, validation martin:0.17, expensive hardware specialized:0.14, axis valuesin:-0.01","Feyenally is a digital platform that allows users to self-examine for refractive errors using a smartphone app. It utilizes AI technology, including neural networks, to provide objective testing of eyes health data without the need for expensive hardware or specialized specialists. Users can take photos of their eyes using their smartphones and receive instant results on spherical, cylindrical, and axis values in seconds within two minutes. The platform is backed by medical research and has been validated through independent studies.","https://www.linkedin.com/company/feyenally, https://www.youtube.com/@feyenally_app","73","1-10M","11-50","2024-01-04","","Washington","DC","","US","","hello@feyenally.com","google.com","","2026-07-17"
"fibrx.io","Techstars","2025","fibrx.io","FibrX Inc","SAAS:0.94, DEFENSE_AND_AEROSPACE:0.66, ENERGY:0.58","B2B:0.81, B2G:0.88","structural health monitoring:0.4, corrosion continuouslysending:0.4, ready infrastructure intelligence:0.39, proactive maintenance:0.38, traditional inspection:0.34, operational readiness:0.34, solutions investment:0.27, time monitoring predictive:0.26, offshore energy:0.25, patented technology:0.24, catastrophic failure:0.22, fiber optic precision:0.22, powerful fusion:0.21, secure cloud platform:0.15, digital twin:0.15","FibrX is a Platform-as-a-Service (PaaS) solution that utilizes fiber optic sensors and AI to monitor and detect corrosion in infrastructure assets. It provides real-time monitoring of strain, temperature, and corrosion every 30 seconds through a cloud platform that delivers predictive maintenance alerts and 3D digital twin data. The system aims to prevent failures by offering automated monitoring and risk management tools across various industries, including aerospace, energy, civil infrastructure, and defense, allowing for proactive maintenance and preventive action before they occur.","https://www.linkedin.com/company/fibrxtechnology","70","1-10M","1-10","2022-04-21","1633 W Innovation Way","Lehi","UT","84043","US","","","google.com","","2026-07-07"
"fleetline.ai","Y Combinator","Summer 2025","fleetline.ai","Fleetline","SAAS:0.95, SUPPLY_CHAIN_AND_PROCUREMENT:0.97","B2B:0.87","trucking fleetline:0.73, running fleetline:0.69, scheduled fleetline:0.68, fleetline careers:0.68, increases fleetline:0.67, fleetline fleetline:0.67, training fleetline:0.66, fleetline run:0.66, evaluation fleetline:0.64, fleetline simulates:0.63, fleetline engineers:0.63, plan fleet:0.61, fleetline fills:0.6, fleetline begins:0.59, using fleet:0.58","Fleetline is a fleet planning service that automates the management of trucking operations by simulating complex scheduling challenges. It aggregates data from various load boards to optimize driver assignments and maximize revenue through predictive events and real-time decision-making. Key features include a centralized loadboard, performance analytics, customizable planning logic, and a chat-like assistant for immediate feedback on operational improvements. The platform aims to enhance efficiency, reduce late arrivals, and improve overall profitability in trucking businesses.","https://www.linkedin.com/company/fleetlineai, https://x.com/fleetline","87","1-10M","1-10","2025-06-25","","Atlanta","GA","","US","","","google.com","","2026-07-13"
"floot.com","Y Combinator","Summer 2025","floot.com","Floot","SAAS:0.97","B2B:0.84, B2C:0.66","app builder:0.56, mobile app:0.45, seo integrations mobile:0.39, expensive external development:0.34, dev team:0.31, single platform:0.24, custom saas:0.23, changelog features seo:0.22, edge delivery:0.17, technical background:0.16, real human help:0.12, user behavior:0.1, support error:0.06, rental roi score:0.03, proper indexing:-0.0","Floot is a platform that allows users to build apps and websites without needing technical skills. It offers features such as a built-in database for data management, automated task handling, SEO tools, and customizable domains. Users can easily export their app projects for mobile or iOS, manage user roles, and access analytics with one-click hosting. Floot also provides support through live chat and email, making it suitable for businesses looking to streamline the app development process.","https://www.linkedin.com/company/floothq, https://twitter.com/floothq, https://x.com/floothq, https://www.youtube.com/@floothq","43","1-10M","1-10","2023-08-02","2026 Floot Inc","San Francisco","CA","","US","","hello@floot.com, feedback@floot.com","google.com","","2026-07-03"
"flowscope.com","Y Combinator","Spring 2026","flowscope.com","flowscope","IT_SERVICES:0.91","B2B:0.86","","The website offers a range of services aimed at enhancing business operations through automation and security. It provides tools for automating tasks related to various accounting processes, such as tax return preparation, risk management, and compliance with regulations like the Special Before Christmas (SOP). Users can also access training programs and resources to improve their sales performance and operational efficiency. The platform supports businesses in achieving better profitability by streamlining their internal processes and improving overall competitiveness.","https://www.linkedin.com/company/flow-scope","62","1-10M","","2023-07-30","131 Continental Drive","Newark","DE","19713","US","","founders@flowscope.com","google.com","","2026-06-24"
